segment_id,page,type,confidence,figure_number,caption,linked_concepts,summary
visual_Investments_p49_image_p49_p48_b2,49,figure,0.3,,Figure 1.1 Short-term LIBOR and Treasury-bill rates and the TED spread,0,Visual element detected (classification unavailable)
visual_Investments_p50_image_p50_p49_b2,50,figure,0.3,,Figure 1.2 Cumulative returns on the S&P 500 index,0,Visual element detected (classification unavailable)
visual_Investments_p50_image_p50_p49_b4,50,figure,0.3,,Figure 1.3 The Case-Shiller index of U.S. housing prices Source: Case Shiller Composite Housing Pric,0,Visual element detected (classification unavailable)
visual_Investments_p51_image_p51_p50_b6,51,figure,0.3,,Figure 1.4 Cash flows in a mortgage pass-through security,0,Visual element detected (classification unavailable)
visual_Investments_p58_image_p58_p57_b11,58,figure,0.3,,Figure 1A A gold-backed security,0,Visual element detected (classification unavailable)
visual_Investments_p61_image_p61_p60_b9,61,figure,0.3,,"Figure 2.1 Treasury bill yields Source: Wall Street Journal Online, July 14, 2021.",0,Visual element detected (classification unavailable)
visual_Investments_p65_image_p65_p64_b10,65,figure,0.3,,Figure 2.2 The spread between the federal funds rate and T-bill rate,0,Visual element detected (classification unavailable)
visual_Investments_p69_image_p69_p68_b2,69,figure,0.3,,"Figure 2.4 Tax-exempt debt outstanding Source: Flow of Funds Accounts of the United States, Board of",0,Visual element detected (classification unavailable)
visual_Investments_p71_image_p71_p70_b2,71,figure,0.3,,Figure 2.5 Ratio of yields on municipal debt to corporate Baa-rated debt Source: Muni bond yields fr,0,Visual element detected (classification unavailable)
visual_Investments_p72_image_p72_p71_b7,72,figure,0.3,,Figure 2.6 Mortgage-backed securities outstanding Source: Securities Industry & Financial Markets As,0,Visual element detected (classification unavailable)
visual_Investments_p73_image_p73_p72_b2,73,figure,0.3,,Figure 2.7 Asset-backed securities outstanding Source: Securities Industry & Financial Markets Assoc,0,Visual element detected (classification unavailable)
visual_Investments_p83_image_p83_p82_b2,83,figure,0.3,,Treasury Debt Federal Agency Corporate Debt Tax-Exempt Mortgage Related Other Asset-Backed Figure 2.,0,Visual element detected (classification unavailable)
visual_Investments_p88_image_p88_p87_b42,88,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p92_image_p92_p91_b8,92,figure,0.3,,"Figure 3.1 Relationships among a firm issuing securities, the underwriters, and the public.",0,Visual element detected (classification unavailable)
visual_Investments_p94_image_p94_p93_b3,94,figure,0.3,,A: Average First-Day Returns on (Mostly) European IPOs,0,Visual element detected (classification unavailable)
visual_Investments_p94_image_p94_p93_b5,94,figure,0.3,,B: Average First-Day Returns on Non-European IPOs Figure 3.2 Average first-day returns on IPOs from ,0,Visual element detected (classification unavailable)
visual_Investments_p98_image_p98_p97_b3,98,figure,0.3,,Panel A: Median Stock (stratified by market capitalization),0,Visual element detected (classification unavailable)
visual_Investments_p98_image_p98_p97_b5,98,figure,0.3,,Panel B: Large stocks (above 95th percentile market capitalization) Figure 3.3 Displayed Market Dept,0,Visual element detected (classification unavailable)
visual_Investments_p102_image_p102_p101_b5,102,figure,0.3,,Figure 3.5 The effective spread (measured in dollars per share) fell dramatically as the minimum tic,0,Visual element detected (classification unavailable)
visual_Investments_p103_image_p103_p102_b6,103,figure,0.3,,"Figure 3.6 Market share of trading in NYSE-listed shares Source: James J. Angel, Lawrence E. Harris,",0,Visual element detected (classification unavailable)
visual_Investments_p109_image_p109_p108_b6,109,figure,0.3,,Figure 3.7 The biggest stock markets in the world by domestic market capitalization in 2021,0,Visual element detected (classification unavailable)
